BEN_QLT,ORG_AFF_DTF,BEN_MVT_TOP,SLM_RTT_COD,GRG_RTT_COD,BEN_RES_DPT,BEN_NIR_IDT,MAJ_SYS_DTE,CAI_RTT_COD
A,2001-11-25,e,504,iJ,004,Aw,1964-04-20,G
q,1982-07-13,J,0,T,003,VZrJcdRWWG,1929-08-27,p
,1932-05-18,K,500,jkZ,001,yUpbuUXzBig,1933-03-19,J
v,1998-07-21,q,505,oPn,003,IMIFouui,1951-07-11,zJ
,1940-09-13,z,511,enb,000,aSbXJfmtjeIr,1949-01-20,LQ
,2021-11-04,,0,F,004,eqRgDfACkFgTMvP,2029-07-23,zSr
a,1905-07-29,Q,503,i,003,xDqRUfTRXQHih,1953-01-25,
,1957-04-25,,500,,010,HUFuPHcepUoIa,2000-05-07,Ec
Z,2018-08-28,,501,vS,008,kLWozkro,1998-11-15,Nt
,1959-02-25,,507,,007,Gff,1940-04-21,YYW
